Endereço;Complemento;Cidade;Estado;CódigoPostal;Name;Telefone;Bairro;Região OP;URL;Tipo;Categoria;Latitude;Longitude;Endereço Formatado
Rua da República, 575;;Porto Alegre;RS;90050-320;Teatro de Câmara Túlio Piva ;(51)3289-8093;Cidade Baixa;CENTRO;http://www2.portoalegre.rs.gov.br/smc/default.php?reg=1&p_secao=19;ESPAÇO CULTURAL;;-30,039689777092;-51,22507504241;Rua da República, 575 - Cidade Baixa, Porto Alegre - RS, 90050-320, República Federativa do Brasil
Rua Demétrio Ribeiro, 1168; loja 04 ;Porto Alegre;RS;90010-311;WONDERLAND Museu de Plastimodelismo e Miniaturas;(51)3227-4580;Centro Historico;CENTRO;http://www.hobbycraft.com.br/HomePort/Wonderland/wonderland.htm;ESPAÇO CULTURAL;;-30,035973886297;-51,227746965478;Rua Demétrio Ribeiro, 1168 - Centro, Porto Alegre - RS, 90010-311, República Federativa do Brasil
Rua Dom Pedro II, 861;;Porto Alegre;RS;90550-142;Teatro CIEE;(51)3363-1111;Higienopolis;NOROESTE;www.teatrociee.org.br;ESPAÇO CULTURAL;;-30,030592149456;-51,231847222307;Rua Dom Pedro II, 861 - Higienópolis, Porto Alegre - RS, 90550-142, República Federativa do Brasil
Rua dos Andradas,  1051 a 1073;;Porto Alegre;RS;90020-007;Auditório da Caixa Econômica Federal;(51)3228-3100;Centro Historico;CENTRO;;ESPAÇO CULTURAL;;-30,029882172908;-51,229658838628;Rua dos Andradas, 1051 - Centro, Porto Alegre - RS, 90020-007, República Federativa do Brasil
Rua dos Andradas,  1051 a 1073 ; 12º Andar;Porto Alegre;RS;90010-300;Museu da Caixa Econômica Federal;(51)3228-9199;Centro Historico;CENTRO;;ESPAÇO CULTURAL;;-30,030528378556;-51,23167845767;Rua dos Andradas, 1051 - Centro, Porto Alegre - RS, 90020-007, República Federativa do Brasil
Rua dos Andradas, 1001; 3° piso;Porto Alegre;RS;90020-007;ArcoÍris Shopping Rua da Praia;(51)3286-7701;Centro Historico;CENTRO;http://www.arcoiriscinemas.com.br/;ESPAÇO DE FORMAÇÃO CULTURAL;;-30,030527196015;-51,23167890706;Rua dos Andradas, 1001 - Centro, Porto Alegre - RS, 90020-007, República Federativa do Brasil
Rua dos Andradas, 1223; 6º Andar;Porto Alegre;RS;90020-008;O Continente CEEE;(51)3228-9710;Centro Historico;CENTRO;www.cccev.com.br;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura, ;-30,029883346724;-51,229655453111;Rua dos Andradas, 1223 - Centro, Porto Alegre - RS, 90020-008, República Federativa do Brasil
Rua dos Andradas, 1223; 3º Andar;Porto Alegre;RS;90010-300;MERGS Museu da Eletricidade do Rio Grande do Sul ;(51)3221-6872;Centro Historico;CENTRO;www.cccev.com.br;ESPAÇO CULTURAL;;-30,029884078945;-51,229657129148;Rua dos Andradas, 1223 - Centro, Porto Alegre - RS, 90020-008, República Federativa do Brasil
Rua dos Andradas, 1223; 4º Andar;Porto Alegre;RS;90020-008;Auditório Barbosa LessaCentro Cultural Érico Verissimo CEEE;(51)3221-6872;Centro Historico;CENTRO;www.cccev.com.br;ESPAÇO CULTURAL;;-30,029847450761;-51,229505822147;Rua dos Andradas, 1223 Porto Alegre, RS 90020-008
Rua dos Andradas, 1234; 10º andar;Porto Alegre;RS;90010-300;Museu Antropológico do Rio Grande do Sul MARS;(51)3228-9420;Centro Historico;CENTRO;www.mars.rs.gov.br ;ESPAÇO CULTURAL;;-30,02974021721;-51,227028180781;Rua dos Andradas, 1234 - Centro, Porto Alegre - RS, 90020-009, República Federativa do Brasil
Rua dos Andradas, 1270;;Porto Alegre;RS;90020-008;Associação nacional de História do RS;(51)3226-1735;Centro Historico;CENTRO;http://www.anpuh-rs.org.br/site/capa;ESPAÇO DE FORMAÇÃO CULTURAL;História;-30,02201263285;-51,199893668569;Rua dos Andradas, 1270 - Centro, Porto Alegre - RS, 90020-009, República Federativa do Brasil
Rua dos Andradas, 1444;29;Porto Alegre;RS;90020-011;Obra Aberta;(51)3228-1445;Centro Historico;CENTRO;;ESPAÇO CULTURAL;;-30,029732971064;-51,227026165215;Rua dos Andradas, 1444 - Centro, Porto Alegre - RS, 90020-011, República Federativa do Brasil
Rua dos Andradas, 1444;;Porto Alegre;RS;90020-011;Espaço 0 – Fundação Vera Chaves Barcellos;(51)3228-1445;Centro Historico;CENTRO;;ESPAÇO CULTURAL;;-30,029552981851;-51,223722394327;Rua dos Andradas, 1444 - Centro, Porto Alegre - RS, 90020-011, República Federativa do Brasil
Rua dos Andradas, 1780;;Porto Alegre;RS;90020-013;Cia de Arte  ;(51)3225-9189;Centro Historico;CENTRO;;ESPAÇO CULTURAL;;-30,029555146594;-51,223721940301;Rua dos Andradas, 1780 - Centro, Porto Alegre - RS, 90020-013, República Federativa do Brasil
Rua dos Andradas, 1780; 3° andar ;Porto Alegre;RS;90020-003;ONG Cirandar;(51)3225-7000;Centro Historico;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura,;-30,033165262609;-51,239345050637;Rua dos Andradas, 1780 - Centro, Porto Alegre - RS, 90020-013, República Federativa do Brasil
Rua dos Andradas, 230;;Porto Alegre;RS;90020-000;Museu do Trabalho;(51)3227-5196;Centro Historico;CENTRO;www.museudotrabalho.org;ESPAÇO CULTURAL;;-30,033168702151;-51,239343813576;Rua dos Andradas, 230 - Centro, Porto Alegre - RS, 90020-000, República Federativa do Brasil
Rua dos Andradas, 230;;Porto Alegre;RS;90020-000;Teatro Museu do Trabalho;(51)3227-5196;Centro Historico;CENTRO;http://www.museudotrabalho.org/;ESPAÇO CULTURAL;;-30,031726121661;-51,235148416559;Rua dos Andradas, 230 Porto Alegre, RS 90020-000
Rua dos Andradas, 498;;Porto Alegre;RS;90010-300;Museu da Brigada Militar Museu Hélio Moro Mariante ;(51)3288-2940;Centro Historico;CENTRO;http://www.brigadamilitar.rs.gov.br/museubm;ESPAÇO CULTURAL;;-30,032113078477;-51,236443205138;Rua dos Andradas, 498 - Centro, Porto Alegre - RS, 90020-001, República Federativa do Brasil
Rua dos Andradas, 630;;Porto Alegre;RS;90020-001;Museu do Comando Militar do SulExército Brasileiro ;(51)3220-6366;Centro Historico;CENTRO;www.museumilitar.com.br;ESPAÇO CULTURAL;;-30,031397226776;-51,234336074506;Rua dos Andradas, 630 - Centro, Porto Alegre - RS, 90020-001, República Federativa do Brasil
Rua dos Andradas, 680; 4º andar;Porto Alegre;RS;90020-003;SMED Secretaria Municipal de Educação;(51)3289-1781;Centro Historico;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;livro;-30,031628636269;-51,234910558256;Rua dos Andradas, 680 - Centro, Porto Alegre - RS, 90020-003, República Federativa do Brasil
Rua dos Andradas, 736;;Porto Alegre;RS;90020-003;Teatro Bruno Kiefer;(51)3221-7147;Centro Historico;CENTRO;www.ccmq.rs.gov.br;ESPAÇO CULTURAL;;-30,031375384067;-51,234317711266;Rua dos Andradas, 736 Porto Alegre, RS 90020-003
Rua dos Andradas, 736; CCMQ;Porto Alegre;RS;90020-003;Instituto Estadual de Cinema (IECINE);(51)3286-1900;Centro Historico;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;cinema;-30,031377073557;-51,234324584062;Rua dos Andradas, 736 Porto Alegre, RS 90020-003
Rua dos Andradas, 736; CCMQ;Porto Alegre;RS;90035-150;Instituto Estadual de Música (IEM);(51)3226-9433;Centro Historico;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;música;-30,031394320165;-51,234336203048;Rua dos Andradas, 736 - Centro, Porto Alegre - RS, 90020-003, República Federativa do Brasil
Rua dos Andradas, 736; 2º andar;Porto Alegre;RS;90020-003;Insituto Estadual de Artes Cênicas (IACEN);(51)3221-2253;Centro Historico;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;artes cênicas;-30,031379102069;-51,234317657313;Rua dos Andradas, 736 Porto Alegre, RS 90020-003
Rua dos Andradas, 736; CCMQ;Porto Alegre;RS;90020-003;Instituto Estadual de Artes Cênicas (IEAV);(51)3216-9913;Centro Historico;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;artes visuais;-30,031373645921;-51,234319750582;Rua dos Andradas, 736 Porto Alegre, RS 90020-003
Rua dos Andradas, 736;;Porto Alegre;RS;90020-003;Acervo Mário Quintana;(51)3221-7109;Centro Historico;CENTRO;http://www.ccmq.com.br/espaco-mezanino.php?PHPSESSID=558a21ae83eb3709a08a57310703b439;ESPAÇO CULTURAL;;-30,031397919203;-51,234333991763;Rua dos Andradas, 736 - Centro, Porto Alegre - RS, 90020-003, República Federativa do Brasil
Rua dos Andradas, 736;;Porto Alegre;RS;90020-003;Teatro Carlos Carvalho;(51)3221-7147;Centro Historico;CENTRO;http://www.ccmq.rs.gov.br/novo/principal/ccarvalho.htm;ESPAÇO CULTURAL;;-30,031399558066;-51,234334850171;Rua dos Andradas, 736 Porto Alegre, RS 90020-003
Rua dos Andradas, 736;;Porto Alegre;RS;90020-003;Cinemateca Paulo Amorin;(51)3226-5787;Centro Historico;CENTRO;http://www.ccmq.com.br/;ESPAÇO CULTURAL;;-30,031399553545;-51,234335624573;Rua dos Andradas, 736 Porto Alegre, RS 90020-003
Rua dos Andradas, 736;;Porto Alegre;RS;90570-041;Biblioteca Pública do Estado;(51)3224-5045;Moinhos de Vento;CENTRO;http://www.bibliotecapublica.rs.gov.br/;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura, arquivo;-30,031401401275;-51,234334582685;Rua dos Andradas, 736 - Centro, Porto Alegre - RS, 90020-003, República Federativa do Brasil
Rua dos Andradas, 736;;Porto Alegre;RS;90010-460;Erico Verissimo;(51)3228-8378;Centro Historico;CENTRO;www.ccmq.rs.gov.br;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura;-30,031397633911;-51,234334918155;Rua dos Andradas, 736 - Centro, Porto Alegre - RS, 90020-003, República Federativa do Brasil
Rua dos Andradas, 736;;Porto Alegre;RS;90020-003;Galeria Augusto Meyer;(51)3221-7147;Centro Historico;CENTRO;;ESPAÇO CULTURAL;;-30,031399662694;-51,23433423421;Rua dos Andradas, 736 Porto Alegre, RS 90020-003
Rua dos Andradas, 736;;Porto Alegre;RS;90010-300;Museu Banrisul;(51)3226-1611;Centro Historico;CENTRO;www.banrisul.com.br;ESPAÇO CULTURAL;;-30,031399857917;-51,234337988774;Rua dos Andradas, 736 - Centro, Porto Alegre - RS, 90020-003, República Federativa do Brasil
Rua dos Andradas, 736;2º e 6º andar  Casa de Cultura Mario Quintana;Porto Alegre;RS;90035-190;Museu de Arte Contemporânea do Rio Grande do Sul Mac (Casa de Cultura Mário Quintana);(51)3221-5900;Centro Historico;CENTRO;não possui;ESPAÇO CULTURAL;;-30,031398559613;-51,234333769839;Rua dos Andradas, 736 - Centro, Porto Alegre - RS, 90020-003, República Federativa do Brasil
Rua dos Andradas, 736;  6° Andar;Porto Alegre;RS;90020-003;Auditório Luis Cosme;(51)3221-7147;Centro Historico;CENTRO;http://www.ccmq.com.br/;ESPAÇO CULTURAL;;-30,03140098636;-51,234337148012;Rua dos Andradas, 736 Porto Alegre, RS 90020-003
Rua dos Andradas, 736; 5º andar;Porto Alegre;RS;90020-003;Lucília Minssen;(51)3225-7089;Centro Historico;CENTRO;www.ccmq.rs.gov.br ;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura, música;-30,031399838899;-51,234335740519;Rua dos Andradas, 736 Porto Alegre, RS 90020-003
Rua dos Andradas, 736; 6° Andar;Porto Alegre;RS;90020-003;Galeria Xico Stockinger;(51)3221-7147;Centro Historico;CENTRO;www.ccmq.com.br;ESPAÇO CULTURAL;;-30,030596002417;-51,231864196451;Rua dos Andradas, 736 Porto Alegre, RS 90020-003
Rua dos Andradas, 959;;Porto Alegre;RS;90020-006;Museu de Comunicação Social Hipólito José da Costa;(51)3224-4252;Centro Historico;CENTRO;http://www.museudacomunicacao.rs.gov.br/site/;ESPAÇO CULTURAL;;-30,044796096091;-51,209438107076;Rua dos Andradas, 959 - Centro, Porto Alegre - RS, 90020-006, República Federativa do Brasil
Rua Doutor Armando Barbedo, 1091;;Porto Alegre;RS;91920-520;Contextura;(51)3222-7756;Tristeza;SUL;http://www.contextura.art.br/;ESPAÇO CULTURAL;;-30,109407843589;-51,24775281885;Rua Doutor Armando Barbedo, 1091 Porto Alegre, RS 91920-520
Rua Doutor Olinto de Oliveira, 68;;Porto Alegre;RS;90040-250;Studio Stravaganza;(51)3211-0499;Santana;CENTRO;http://www.ciastravaganza.com.br/;ESPAÇO CULTURAL;;-30,140850623265;-51,211491785662;Rua Doutor Olinto de Oliveira, 68 - Santana, Porto Alegre - RS, 90040-250, República Federativa do Brasil
Rua Doutor Pitrez,  sn;;Porto Alegre;RS;91751-530;Jane Klein Escritório de Arte;(51)9982-9190;;;http://www.janeklein.com.br/;ESPAÇO CULTURAL;;-30,002466548372;-51,196450296642;Porto Alegre - RS, 91751-530, República Federativa do Brasil
Rua Doutor Salvador França, 201;;Porto Alegre;RS;90690-000;Fundação Parque Histórico Marechal Manoel Luís Osório;(51)3336-4530;Jardim Botanico;CENTRO;;ESPAÇO CULTURAL;;-30,035929483363;-51,20488346549;Rua Doutor Salvador França, 201 - Jardim Botânico, Porto Alegre - RS, 90690-000, República Federativa do Brasil
Rua Doutor Timóteo, 752;;Porto Alegre;RS;90570-041;Biblioteca da Aliança Francesa;(51)3222-6070;Moinhos de Vento;CENTRO;http://www.afpoa.com.br/;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura, audiovisual;-30,033302717135;-51,21878255201;Rua Doutor Timóteo, 752 - Moinhos de Vento, Porto Alegre - RS, 90570-041, República Federativa do Brasil
Rua Dr João Inácio, 981;;Porto Alegre;RS;90230-181;Terreira da Tribo;(51)3028-1358;Navegantes;HUMAITA/NAVEGANTES;http://www.oinoisaquitraveiz.com.br/;ESPAÇO CULTURAL;;-30,035797627464;-51,201247423956;Rua Doutor João Inácio, 981 - Navegantes, Porto Alegre - RS, 90230-181, República Federativa do Brasil
Rua Dr. Campos Velho, 1299; sala 201;Porto Alegre;RS;90820-000;Nova Acrópole;(51)3022-4433;Nonoai;CENTRO-SUL;http://www.nova-acropole.org.br/;ESPAÇO DE FORMAÇÃO CULTURAL;Filosofia;-30,093863286594;-51,229440406305;Rua Doutor Campos Velho, 1299 - Nonoai, Porto Alegre - RS, 90820-000, República Federativa do Brasil
Rua Dr. João Simplício Alves de Carvalho, 38;;Porto Alegre;RS;91360-260;Recitatus Centro de Artes ;(51)3347-7840;Vila Ipiranga;NOROESTE;www.recitatus.com.br;ESPAÇO DE FORMAÇÃO CULTURAL;música;-30,019381786071;-51,152069829425;Rua Dr. João Simplício Alves de Carvalho, 38 Porto Alegre, RS 91360-260
Rua Dr. Lauro de Oliveira, 71;;Porto Alegre;RS;90420-210;Biblioteca do Americano  Mary Tweedy Biblioteca de Séries Iniciais e Infantil;(51)3316-1129;Rio Branco;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;livro;-30,035783324522;-51,201230661022;Rua Dr. Lauro de Oliveira, 71 Porto Alegre, RS 90420-210
Rua Dr. Lauro de Oliveira, 71;;Porto Alegre;RS;90420-210;Museu Histórico Bispo Isac Aço / Museu do IPA;(51)3316-1198;Rio Branco;CENTRO;em reforma;ESPAÇO CULTURAL;;-30,035799238175;-51,201244022618;Rua Doutor Lauro de Oliveira, 71 - Rio Branco, Porto Alegre - RS, 90420-210, República Federativa do Brasil
Rua Dr. Lauro de Oliveira, 71;;Porto Alegre;RS;90420-210;Sala de Biociências do Colégio Americano;(51)3331-7720;Rio Branco;CENTRO;www.ipa-imec.br;ESPAÇO CULTURAL;;-30,033352666748;-51,229706329436;Rua Dr. Lauro de Oliveira, 71 Porto Alegre, RS 90420-210
Rua Duque de Caxias, 1029;;Porto Alegre;RS;90010-280;Memorial do Legislativo do RS;(51)3210-1675;Centro Historico;CENTRO;http://www2.al.rs.gov.br/memorial/;ESPAÇO CULTURAL;;-30,033373324805;-51,229473500081;Rua Duque de Caxias, 1029 - Centro, Porto Alegre - RS, 90010-280, República Federativa do Brasil
Rua Duque de Caxias, 1205;;Porto Alegre;RS;90010-281;Museu Júlio de Castilhos;(51)3221-3959;Centro Historico;CENTRO;http://www.museujuliodecastilhos.rs.gov.br/;ESPAÇO CULTURAL;;-30,033370032752;-51,229474704202;Rua Duque de Caxias, 1205 - Centro, Porto Alegre - RS, 90010-281, República Federativa do Brasil
Rua Duque de Caxias, 1205;;Porto Alegre;RS;90010-281;Teatro do Museu Julio de castilhos;(51)3221-3959;Centro Historico;CENTRO;http://www.museujuliodecastilhos.rs.gov.br/;ESPAÇO CULTURAL;;-30,033193858261;-51,231515163995;Rua Duque de Caxias, 1205 Porto Alegre, RS 90010-281
Rua Duque de Caxias, 1597;;Porto Alegre;RS;90010-281;Conservatório Palestrina;(51)3227-2398;Centro Historico;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;música;-30,032946744032;-51,225558860205;Rua Duque de Caxias, 1597 Porto Alegre, RS 90010-281
Rua Duque de Caxias, 350;;Porto Alegre;RS;90010-282;Centro de Memoria da Justiça Eleitoral do RS;(51)3216-9540;Centro Historico;CENTRO;;ESPAÇO CULTURAL;;-30,034634147747;-51,237960566897;Rua Duque de Caxias, 350 Porto Alegre, RS 90010-282
Rua Duque de Caxias, 968; Solar dos Câmara;Porto Alegre;RS;90010-282;Centro de Documentação Histórica e Política do RSBiblioteca Borges de MedeirosSolar dos Câmara;(51)3210-2000;Centro Historico;CENTRO;http://www2.al.rs.gov.br/biblioteca/;ESPAÇO DE FORMAÇÃO CULTURAL;arquivo;-30,033211494226;-51,231619104443;Rua Duque de Caxias, 968 - Centro, Porto Alegre - RS, 90010-282, República Federativa do Brasil
Rua Duque de Caxias, 973;;Porto Alegre;RS;90020-020;Pinacoteca Rubem Berta;(51)3289-3735;Centro Historico;CENTRO;http://www2.portoalegre.rs.gov.br/smc/default.php?reg=1&p_secao=154;ESPAÇO CULTURAL;;-30,034010531783;-51,220647260609;Rua Duque de Caxias, 973 - Centro, Porto Alegre - RS, 90010-280, República Federativa do Brasil
Rua Engenheiro Luiz Englert,  s/n; Prédio 12204;Porto Alegre;RS;90040-040;Cinema Universitário Sala Redenção;(51)3308-3933;Centro Historico;CENTRO;http://www.difusaocultural.ufrgs.br/;ESPAÇO DE FORMAÇÃO CULTURAL;;-29,993483555491;-51,201298779993;Central, Porto Alegre - RS, 90040-040, República Federativa do Brasil
Rua Farias Santos, 234;;Porto Alegre;RS;90670-150;Projeto Prelúdio;(51)3333-6611;Petropolis;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;;-30,044521244368;-51,190516240227;Rua Farias Santos, 234 Porto Alegre, RS 90670-150
Rua Felizardo, 750;;Porto Alegre;RS;90690-200;Biblioteca UFRGS EDUCAÇÃO FÍSICA (ESEF);(51)3308-5813;Jardim Botanico;CENTRO;http://www.esef.ufrgs.br/biblioteca.htm;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura;-30,051785604443;-51,181200795104;Rua Felizardo, 750 Porto Alegre, RS 90690-200
Rua Frederico Mentz, 1561;;Porto Alegre;RS;90240-110;Espaço de Artes Zoravia Bettiol;(51)3374-7626;Navegantes;HUMAITA/NAVEGANTES;;ESPAÇO CULTURAL;;-29,993456732336;-51,201276195714;Rua Frederico Mentz, 1561 Porto Alegre, RS 90240-110
Rua Frederico Mentz, 1561;;Porto Alegre;RS;90240-110;Teatro Novo DC;(51)3374-7626;Navegantes;HUMAITA/NAVEGANTES; www.teatronovo.com.br;ESPAÇO CULTURAL;;-29,99345999822;-51,201273702441;Rua Frederico Mentz, 1561 Porto Alegre, RS 90240-110
Rua Frederico Mentz, 1561;;Porto Alegre;RS;90240-110;Teatro do Casarão Verde;(51)3343-5336;Navegantes;HUMAITA/NAVEGANTES;http://www.cuidadoquemancha.com.br/;ESPAÇO CULTURAL;;-30,030365747633;-51,215097205222;Rua Frederico Mentz, 1561 - Navegantes, Porto Alegre - RS, 90240-110, República Federativa do Brasil
Rua Frederico Mentz, 1561; Shopping DC loja 150 ;Porto Alegre;RS;90240-111;Galeria Avalon;(51)3062-1100;Navegantes;HUMAITA/NAVEGANTES;http://www.galeriaavalon.com.br;ESPAÇO CULTURAL;artes visuais;-30,008557674038;-51,169739318679;Rua Frederico Mentz, 1561 - Navegantes, Porto Alegre - RS, 90240-111, República Federativa do Brasil
Rua Frederico Mentz, 1606;;Porto Alegre;RS;90240-110;Biblioteca do IPA Biblioteca da Unidade DC Shopping ;(51)3362-5604;Navegantes;HUMAITA/NAVEGANTES;http://www.metodistadosul.edu.br/bibliotecas/;ESPAÇO DE FORMAÇÃO CULTURAL;livro;-29,993758451395;-51,201357257537;Rua Frederico Mentz, 1606 Porto Alegre, RS 90240-110
Rua Garibaldi, 1042;;Porto Alegre;RS;90035-052;Cordas & Cordas Escola de Música;(51)3311-4147;Independencia;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;música;-30,029858547323;-51,214989071586;Rua Garibaldi, 1042 Porto Alegre, RS 90035-052
Rua Garibaldi, 1102;;Porto Alegre;RS;90035-052;Teatro de Bolso Ilona Christensen ;(51)3311-8055;Independencia;CENTRO;;ESPAÇO CULTURAL;;-30,028313492662;-51,215178034193;Rua Garibaldi, 1102 - Independência, Porto Alegre - RS, 90035-052, República Federativa do Brasil
Rua Garibaldi, 1329;;Porto Alegre;RS;90035-052;Galeria Zouk;(51)3024-7554;Bom Fim;CENTRO;http://www.editorazouk.com.br/;ESPAÇO CULTURAL;;-30,03315390083;-51,215329310782;Rua Garibaldi, 1329 Porto Alegre, RS 90035-052
Rua Garibaldi, 853;;Porto Alegre;RS;90035-051;Casa de Teatro;(51)3029-9292;Independencia;CENTRO;http://www.casadeteatropoa.com.br/;ESPAÇO CULTURAL;;-30,033087359824;-51,235726306452;Rua Garibaldi, 853 - Independência, Porto Alegre - RS, 90035-051, República Federativa do Brasil
Rua Gen Lima E Silva, 776;;Porto Alegre;RS;90050-101;Guion;(51)3221-3122;Cidade Baixa;CENTRO;http://www.guion.com.br/;ESPAÇO DE FORMAÇÃO CULTURAL;;-30,039271016857;-51,22009851438;Rua Gen Lima E Silva, 776 Porto Alegre, RS 90050-101
Rua General Andrade Neves, 100;;Porto Alegre;RS;90010-210;Curso Para Djs Mixdj;(51)3228-7975;Centro Historico;CENTRO;http://mixdj.com.br;ESPAÇO DE FORMAÇÃO CULTURAL;música;-30,030790421367;-51,228465689824;Rua General Andrade Neves, 100 - Centro, Porto Alegre - RS, 90010-210, República Federativa do Brasil
Rua General Câmara, 424;;Porto Alegre;RS;90010-230;CineBancários;(51)3433-1200;Centro Historico;CENTRO;http://www.sindbancarios.org.br;ESPAÇO DE FORMAÇÃO CULTURAL;;-30,031865940101;-51,230099128329;Rua General Câmara, 424 Porto Alegre, RS 90010-230
Rua General Canabarro, 363;;Porto Alegre;RS;90010-160;IAB Solar Cultural Conde do Porto;(51)3212-2552;Centro Historico;CENTRO;http://www.iab-rs.org.br/temp-arq-dest01.php?PHPSESSID=f392132490b3b47c955d50bb797b8025;ESPAÇO CULTURAL;;-30,032777801104;-51,212571641996;Rua General Canabarro, 363 - Centro, Porto Alegre - RS, 90010-160, República Federativa do Brasil
Rua General Couto de Magalhães, 431;;Porto Alegre;RS;90540-130;Saron Galeria de Artes;(51)3337-1285;Sao Joao;NOROESTE;;ESPAÇO CULTURAL;;-30,016835148963;-51,196858252371;Rua General Couto de Magalhães, 431 Porto Alegre, RS 90540-130
Rua General João Manoel, 207; Ap 73;Porto Alegre;RS;90010-030;Exposta Photografica;(51)3226-9523;Centro Historico;CENTRO;;ESPAÇO CULTURAL;;-30,030770012634;-51,233485270913;Rua General João Manoel, 207 - Centro, Porto Alegre - RS, 90010-030, República Federativa do Brasil
Rua General João Telles, 329; 4º andar;Porto Alegre;RS;90035-120;Associação Beneficente Cultural Bene Berith Jehuda Halevi;(51)3254-0027;Bom Fim;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;;-30,03236009362;-51,212482033846;Rua General João Telles, 329 - Bomfim, Porto Alegre - RS, 90035-120, República Federativa do Brasil
Rua General João Telles, 369; 2º andar;Porto Alegre;RS;90035-120;Memorial da Justiça do Trabalho;(51)3222-9580;Bom Fim;CENTRO;www.trt4.jus.br;ESPAÇO CULTURAL;;-30,032882472259;-51,212589211238;Rua General João Telles, 369 - Bomfim, Porto Alegre - RS, 90035-120, República Federativa do Brasil
Rua General João Telles, 379; sala 102;Porto Alegre;RS;90035-120;Arena Associação de Arte e Cultura;;Bom Fim;CENTRO;http://www.arena.org.br;ESPAÇO DE FORMAÇÃO CULTURAL;Arte e Cultura;-30,033930554461;-51,21270329633;Rua General João Telles, 379 - Bomfim, Porto Alegre - RS, 90035-120, República Federativa do Brasil
Rua General João Telles, 508;;Porto Alegre;RS;90035-121;Teatro HebraicaAssociação Israelita;(51)3311-3755;Bom Fim;CENTRO;http://www.hebraicars.com.br;ESPAÇO CULTURAL;;-30,03626064856;-51,237656916937;Rua General João Telles, 508 - Bomfim, Porto Alegre - RS, 90035-121, República Federativa do Brasil
Rua General Lima e Silva, 4;;Porto Alegre;RS;90050-101;Azul Galeria Produtora;(51)8154-8037;Centro Historico;CENTRO;http://www.azulgaleria.com.br/;ESPAÇO CULTURAL;artes visuais;-30,038794609873;-51,220982503004;Rua General Lima E Silva, 4 - Centro, Porto Alegre - RS, 90050-101, República Federativa do Brasil
Rua General Lima e Silva, 661;;Porto Alegre;RS;90050-100;Emoldurarte;;Cidade Baixa;CENTRO;http://www.emoldurarte.com/;ESPAÇO CULTURAL;;-30,039269489679;-51,220096116794;Rua General Lima e Silva, 661 Porto Alegre, RS 90050-100
Rua General Lima e Silva, 776; Loja 11;Porto Alegre;RS;90050-101;Guion Arte;(51)3221-3122;Cidade Baixa;CENTRO;http://www.guion.com.br/arte e www.guion.com.br;ESPAÇO CULTURAL;;-30,043524464626;-51,216455742719;Rua General Lima E Silva, 776 - Cidade Baixa, Porto Alegre - RS, 90050-101, República Federativa do Brasil
Rua General Vasco Alves,  sn;;Porto Alegre;RS;90010-410;Castelo do Alto da Bronze;(51)3779-9896;Centro Historico;CENTRO;http://castelinhodoaltodabronze.blogspot.com/;ESPAÇO CULTURAL;;-30,047551608797;-51,206390533334;Porto Alegre - RS, 90010-410, República Federativa do Brasil
Rua Gomes Jardim, 497;;Porto Alegre;RS;90620-130;Cultura Japonesa de Porto Alegre;(51)3219-2664;Santana;CENTRO;http://www.acj-poa.com.br/;ESPAÇO DE FORMAÇÃO CULTURAL;Cultura nipônica;-30,058575706378;-51,227978179871;Rua Gomes Jardim, 497 - Santana, Porto Alegre - RS, 90620-130, República Federativa do Brasil
Rua Gonçalo de Carvalho, 22;;Porto Alegre;RS;90035-170;Casa da Música;(51)9968-0572;Independencia;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;música;-30,026831168852;-51,209560271087;Rua Gonçalo de Carvalho, 22 Porto Alegre, RS 90035-170
Rua Grão Pará, 179;;Porto Alegre;RS;90850-170;Teatro Nilton Filho;(51)3028-3663;Menino Deus;CENTRO;;ESPAÇO CULTURAL;;-29,9858135048;-51,198268428858;Rua Grão Pará, 179 - Menino Deus, Porto Alegre - RS, 90850-170, República Federativa do Brasil
Rua Hilário Ribeiro, 298;;Porto Alegre;RS;90510-040;Galeria Mallmann Arte Contemporânea;(51)3346-6035;Moinhos de Vento;CENTRO;;ESPAÇO CULTURAL;;-30,025574936404;-51,204013850016;Rua Hilário Ribeiro, 298 Porto Alegre, RS 90510-040
