Endereço;Complemento;Cidade;Estado;CódigoPostal;Name;Telefone;Bairro;Região OP;URL;Tipo;Categoria;Latitude;Longitude;Endereço Formatado
Largo dos Campeões, 1;;Porto Alegre;RS;90880-440;Museu do Grêmio Football Porto Alegrense Ermíno Bittencourt ;(51)3218-2844;Medianeira;CRUZEIRO;http://www.gremio.net/news/view.aspx?id=6221;ESPAÇO CULTURAL;;-30,059067374399;-51,214485801537;Largo dos Campeões, 1 Porto Alegre, RS 90880-440
Largo Jornalista Glênio Peres, ;;Porto Alegre;RS;90020-020;Mercado Público;(51)3289-4801;Centro Historico;CENTRO;http://www2.portoalegre.rs.gov.br/mercadopublico/default.php?p_secao=20;ESPAÇO CULTURAL;;-30,028076585884;-51,22714113369;Largo Jornalista Glênio Peres - Centro, Porto Alegre - RS, 90020-050, República Federativa do Brasil
Largo Jornalista Glênio Peres, ;;Porto Alegre;RS;90020-070;Galeria Mario Quintana;(51)3363-8477;Centro Historico;CENTRO;http://www.trensurb.gov.br/paginas/galeria_projetos_detalhes.php?codigo_sitemap=65&codigo_sitemap_pai=5;ESPAÇO CULTURAL;fotografia, artes visuais;-30,02808008182;-51,22714206491;Largo Jornalista Glênio Peres - Centro, Porto Alegre - RS, 90020-050, República Federativa do Brasil
Largo Jornalista Glênio Peres,  Mercado Público Central; Sala 38;Porto Alegre;RS;90020-020;Memorial do Mercado;(51)3225-0793;Centro Historico;CENTRO;http://www2.portoalegre.rs.gov.br/mercadopublico/default.php?p_secao=42;ESPAÇO CULTURAL;;-30,032299408795;-51,229803630187;Central, Porto Alegre - RS, 90010-300, República Federativa do Brasil
Largo Jornalista Glênio Peres,  Mercado Público Central; Sala 38;Porto Alegre;RS;90020-020;Livraria Ilhota;(51)3225-0793;Centro Historico;CENTRO;http://www2.portoalegre.rs.gov.br/smc/default.php?reg=1&p_secao=168;ESPAÇO CULTURAL;;-30,032299408795;-51,229803630187;
Largo Jornalista Glênio Peres,  Mercado Público Central; Sala 38;Porto Alegre;RS;90020-020;Observatório da Cultura;(51)3225-0793;Centro Historico;CENTRO;http://www2.portoalegre.rs.gov.br/smc/default.php?reg=5&p_secao=19;ESPAÇO CULTURAL;;-30,079125646126;-51,22539329283;
Largo Vespasiano Julio Veppo, 11; Estação Rodoviária ;Porto Alegre;RS;90035-040;Galeria Pública de Street Art;(51)3363-8413;Centro Historico;CENTRO;;ESPAÇO CULTURAL;artes visuais, grafitti;-30,034786629668;-51,226222970653;
Luiz Guaranha, 44;;Porto Alegre;RS;90160-110;Associação Comunitária Cultural Quilombo do Área;(51)3221-5859;Menino Deus;CENTRO;;ESPAÇO DE FORMAÇÃO CULTURAL;;-30,032559207232;-51,22956931274;Luiz Guaranha, 44 Porto Alegre, RS 90160-110
Praça da Alfândega,  sn;;Porto Alegre;RS;90010-150;MARGS Museu de Arte do Rio Grande do Sul Ado Malagoni;(51)3227-2311;Centro Historico;CENTRO;www.margs.rs.gov.br;ESPAÇO CULTURAL;;-30,032286431165;-51,229793028042;Centro, Porto Alegre - RS, 90010-150, República Federativa do Brasil
Praça da Matriz, 101;;Porto Alegre;RS;90010-300;Teatro Dante Barone;(51)3210-2076;Centro Historico;CENTRO;http://www2.al.rs.gov.br/drpac/TeatroDanteBarone/tabid/3270/language/pt-BR/Default.aspx;ESPAÇO CULTURAL;;-30,01405468787;-51,173441093698;Praça da Matriz, 101 Porto Alegre, RS 90010-300
Praça Marechal deodoro 55,  5º andar ;;Porto Alegre;RS;90010-906;Arquivo e Biblioteca do Memorial do Judiciário Gaúcho ;(51)3210-6290;Centro Historico;CENTRO;http://www1.tjrs.jus.br/site/publicacoes/biblioteca/;ESPAÇO DE FORMAÇÃO CULTURAL;arquivo;-30,032848865886;-51,229601257807;Praça Marechal Deodoro, 55 - Centro, Porto Alegre - RS, 90010-300, República Federativa do Brasil
Praça Marechal Deodoro,  sn;;Porto Alegre;RS;90010-300;Theatro São Pedro;(51)3227-5100;Centro Historico;CENTRO;http://www.teatrosaopedro.com.br/;ESPAÇO CULTURAL;;-30,042616602693;-51,18026006908;Central, Porto Alegre - RS, 90010-300, República Federativa do Brasil
